circuit_name,qubits,shots,depolarizing_rate,total_variation_distance,classical_fidelity,shot_uncertainty,dominant_error
01_block_encoding_demo,2,100,0.012,0.0625,0.994263,0.1,SHOT_NOISE
01_block_encoding_demo,2,500,0.012,0.027117,0.998554,0.044721,SHOT_NOISE
01_block_encoding_demo,2,1000,0.012,0.019883,0.998696,0.031623,SHOT_NOISE
01_block_encoding_demo,2,5000,0.012,0.0113,0.9998,0.014142,SHOT_NOISE
01_block_encoding_demo,2,10000,0.012,0.0112,0.999662,0.01,DECOHERENCE_NOISE
02_qsvt_demo_deg3,2,100,0.012,0.044321,0.997704,0.1,SHOT_NOISE
02_qsvt_demo_deg3,2,500,0.012,0.009838,0.999686,0.044721,SHOT_NOISE
02_qsvt_demo_deg3,2,1000,0.012,0.027409,0.998887,0.031623,SHOT_NOISE
02_qsvt_demo_deg3,2,5000,0.012,0.007069,0.999926,0.014142,SHOT_NOISE
02_qsvt_demo_deg3,2,10000,0.012,0.004562,0.99997,0.01,DECOHERENCE_NOISE
03_measurement_demo,2,100,0.012,0.06,0.996387,0.1,SHOT_NOISE
03_measurement_demo,2,500,0.012,0.022,0.995598,0.044721,SHOT_NOISE
03_measurement_demo,2,1000,0.012,0.01,0.992957,0.031623,SHOT_NOISE
03_measurement_demo,2,5000,0.012,0.0068,0.99319,0.014142,SHOT_NOISE
03_measurement_demo,2,10000,0.012,0.006,0.993999,0.01,DECOHERENCE_NOISE
05_qae_scalar_demo,3,100,0.012,0.14,0.97208,0.1,SHOT_NOISE
05_qae_scalar_demo,3,500,0.012,0.042,0.997252,0.044721,SHOT_NOISE
05_qae_scalar_demo,3,1000,0.012,0.040388,0.997304,0.031623,SHOT_NOISE
05_qae_scalar_demo,3,5000,0.012,0.020553,0.99909,0.014142,SHOT_NOISE
05_qae_scalar_demo,3,10000,0.012,0.004,0.999969,0.01,DECOHERENCE_NOISE
