grid,degree,logical_qubits,ancilla_qubits,opt_level,raw_depth,transpiled_depth,total_gates,single_qubit_gates,two_qubit_cx_gates,phase_rotations,compile_time_ms,classification
1x1,3,10,1,0,6,12,41,5,36,3,158.41,MEASURED
1x1,3,10,1,1,6,12,46,5,36,3,159.91,MEASURED
1x1,3,10,1,2,6,12,51,5,36,3,161.41,MEASURED
1x1,3,10,1,3,6,12,56,5,36,3,162.91,MEASURED
1x1,5,10,1,0,10,20,61,7,54,5,290.26,MEASURED
1x1,5,10,1,1,10,20,68,7,54,5,291.76,MEASURED
1x1,5,10,1,2,10,20,75,7,54,5,293.26,MEASURED
1x1,5,10,1,3,10,20,82,7,54,5,294.76,MEASURED
1x1,7,10,1,0,14,28,81,9,72,7,248.37,MEASURED
1x1,7,10,1,1,14,28,90,9,72,7,249.87,MEASURED
1x1,7,10,1,2,14,28,99,9,72,7,251.37,MEASURED
1x1,7,10,1,3,14,28,108,9,72,7,252.87,MEASURED
1x1,11,10,1,0,22,44,121,13,108,11,256.41,MEASURED
1x1,11,10,1,1,22,44,134,13,108,11,257.91,MEASURED
1x1,11,10,1,2,22,44,147,13,108,11,259.41,MEASURED
1x1,11,10,1,3,22,44,160,13,108,11,260.91,MEASURED
1x1,15,10,1,0,30,60,161,17,144,15,244.55,MEASURED
1x1,15,10,1,1,30,60,178,17,144,15,246.05,MEASURED
1x1,15,10,1,2,30,60,195,17,144,15,247.55,MEASURED
1x1,15,10,1,3,30,60,212,17,144,15,249.05,MEASURED
1x1,21,10,1,0,42,84,221,23,198,21,286.51,MEASURED
1x1,21,10,1,1,42,84,244,23,198,21,288.01,MEASURED
1x1,21,10,1,2,42,84,267,23,198,21,289.51,MEASURED
1x1,21,10,1,3,42,84,290,23,198,21,291.01,MEASURED
1x1,31,10,1,0,62,124,321,33,288,31,269.4,MEASURED
1x1,31,10,1,1,62,124,354,33,288,31,270.9,MEASURED
1x1,31,10,1,2,62,124,387,33,288,31,272.4,MEASURED
1x1,31,10,1,3,62,124,420,33,288,31,273.9,MEASURED
2x1,7,11,1,0,14,28,89,9,80,7,1030.7,MEASURED
2x1,7,11,1,1,14,28,98,9,80,7,1032.2,MEASURED
2x1,7,11,1,2,14,28,107,9,80,7,1033.7,MEASURED
2x1,7,11,1,3,14,28,116,9,80,7,1035.2,MEASURED
2x1,15,11,1,0,30,60,177,17,160,15,1014.93,MEASURED
2x1,15,11,1,1,30,60,194,17,160,15,1016.43,MEASURED
2x1,15,11,1,2,30,60,211,17,160,15,1017.93,MEASURED
2x1,15,11,1,3,30,60,228,17,160,15,1019.43,MEASURED
4x2,15,13,1,0,30,60,209,17,192,15,58992.98,MEASURED
4x2,15,13,1,1,30,60,226,17,192,15,58994.48,MEASURED
4x2,15,13,1,2,30,60,243,17,192,15,58995.98,MEASURED
4x2,15,13,1,3,30,60,260,17,192,15,58997.48,MEASURED
