dt,sigma_max,sigma_min,condition_number_kappa,qsvt_residual_d15,well_conditioned_kappa_under_1_5,regime
0.001,1.0050225518003377,0.994020911040953,1.0110678162171294,2.4934011530830207e-15,True,SAFE_OPERATING_ZONE
0.005,1.025405866373303,0.9704006297341685,1.0566830182851412,2.159577952004645e-13,True,SAFE_OPERATING_ZONE
0.01,1.0515469356148637,0.941544172124258,1.116832291832282,5.026027371671848e-11,True,SAFE_OPERATING_ZONE
0.02,1.1060448154788574,0.8860719307783642,1.2482562386410991,1.3155111026080813e-08,True,SAFE_OPERATING_ZONE
0.03,1.1634976211857664,0.833584594617714,1.3957762999679142,4.190752044707862e-07,True,SAFE_OPERATING_ZONE
0.035,1.1933262399086708,0.80843510723769,1.476094035532549,1.5726538933879336e-06,True,SAFE_OPERATING_ZONE
0.04,1.2238833411920904,0.7840168158070097,1.561042207917842,4.841891270233616e-06,False,ILL_CONDITIONED_ZONE
0.05,1.2871549054153606,0.7373466069607656,1.745657867364202,2.9009707035469315e-05,False,ILL_CONDITIONED_ZONE
0.075,1.4574499792372158,0.632849539960454,2.302996031771296,0.0004245321277122305,False,ILL_CONDITIONED_ZONE
0.1,1.6437097353044434,0.54442514118503,3.0191657419175044,0.0025539863515744252,False,ILL_CONDITIONED_ZONE
