file,entity_type,name,line_range,purpose,qubits,clbits,is_executable,is_simulated,is_emulated,is_hardware_ready,classification
baseline/classical_validated/matrix_two_phase_lbm.py,Class,MatrixTwoPhaseLBM2D,18-210,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
baseline/classical_validated/matrix_two_phase_lbm.py,Function,__init__,19-58,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
baseline/classical_validated/verify_matrix_equivalence.py,Function,verify_equivalence,15-146,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
classical/baseline_v0_simplified/matrix_two_phase_lbm.py,Class,MatrixTwoPhaseLBM2D,18-210,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
classical/baseline_v0_simplified/matrix_two_phase_lbm.py,Function,__init__,19-58,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
classical/baseline_v0_simplified/verify_matrix_equivalence.py,Function,verify_equivalence,15-146,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
classical/verify_matrix_equivalence.py,Function,verify_equivalence,15-134,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/block_encoding.py,Class,QuantumBlockEncoding,17-107,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,True,True,True,SIMULATED_CIRCUIT
quantum/block_encoding.py,Function,build_A_C_block_encoding,109-129,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/block_encoding.py,Function,__init__,18-65,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,True,False,CLASSICAL_EMULATION
quantum/block_encoding.py,Function,_build_qiskit_circuit,68-78,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,True,False,True,SIMULATED_CIRCUIT
quantum/carleman_lbm.py,Class,CarlemanTwoPhaseLBM,20-327,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/carleman_lbm.py,Function,__init__,21-79,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/compare_three_solvers.py,Function,run_three_solver_comparison,26-170,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/dam_break_qlbm.py,Class,DamBreakQLBM,21-154,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/dam_break_qlbm.py,Function,__init__,22-90,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/dam_break_qlbm_sim.py,Class,QLBMDamBreakSimulation,28-229,Block Encoding / QSVT / Simulation / Test,Variable (2-25),Variable,True,True,False,False,ANALYTICAL_BLUEPRINT
quantum/dam_break_qlbm_sim.py,Function,run_end_to_end,134-229,Block Encoding / QSVT / Simulation / Test,Variable (2-25),Variable,True,True,False,False,ANALYTICAL_BLUEPRINT
quantum/qsvt_solver.py,Class,QSVTSolver,16-181,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,True,True,True,SIMULATED_CIRCUIT
quantum/qsvt_solver.py,Function,__init__,17-61,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,True,False,CLASSICAL_EMULATION
quantum/qsvt_solver.py,Function,_build_qsvt_circuit,109-137,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,True,False,True,SIMULATED_CIRCUIT
quantum/run_end_to_end_validation.py,Function,run_all_validations,18-256,Block Encoding / QSVT / Simulation / Test,Variable (2-25),Variable,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/run_quantum_pipeline.py,Function,run_quantum_pipeline,22-240,Block Encoding / QSVT / Simulation / Test,Variable (2-25),Variable,True,False,False,False,ANALYTICAL_BLUEPRINT
quantum/verify_block_encoding.py,Function,run_block_encoding_validation,14-75,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
