branch,head_commit,date,relationship_to_current,relevant_phase
development,30807c7,2026-09-01 19:11:01 +0200,LOCAL_BRANCH,Level 4
feature/direct-encoding-two-phase-qlbm,a42040a,2026-09-03 17:40:15 +0200,CURRENT,Phases F1-F38
feature/level5-quantum-formulation,126cdbf,2026-09-01 20:52:29 +0200,LOCAL_BRANCH,Level 5
feature/level6-architecture-investigation,d8454e2,2026-09-01 21:07:57 +0200,LOCAL_BRANCH,Historical Archive
feature/level6a-local-carleman-core,48b4622,2026-09-01 22:39:38 +0200,LOCAL_BRANCH,Level 6A
feature/level6b-hybrid-k1,e5d258e,2026-09-02 00:04:20 +0200,LOCAL_BRANCH,Level 6B
feature/level7-coherent-multistep-investigation,8edd2ad,2026-09-02 14:02:27 +0200,LOCAL_BRANCH,Level 7
main,6d3df6e,2026-09-01 16:47:44 +0200,LOCAL_BRANCH,Historical Archive
professor/final-research-code,42eff09,2026-09-02 23:55:41 +0200,LOCAL_BRANCH,Historical Archive
research-history,6899797,2026-09-01 17:37:08 +0200,LOCAL_BRANCH,Historical Archive
origin/development,30807c7,2026-09-01 19:11:01 +0200,TRACKED_REMOTE,Level 4
origin/feature/direct-encoding-two-phase-qlbm,a42040a,2026-09-03 17:40:15 +0200,TRACKED_REMOTE,Phases F1-F38
origin/feature/level5-quantum-formulation,126cdbf,2026-09-01 20:52:29 +0200,TRACKED_REMOTE,Level 5
origin/feature/level6-architecture-investigation,d8454e2,2026-09-01 21:07:57 +0200,TRACKED_REMOTE,Historical Archive
origin/feature/level6a-local-carleman-core,48b4622,2026-09-01 22:39:38 +0200,TRACKED_REMOTE,Level 6A
origin/feature/level6b-hybrid-k1,e5d258e,2026-09-02 00:04:20 +0200,TRACKED_REMOTE,Level 6B
origin/feature/level7-coherent-multistep-investigation,8edd2ad,2026-09-02 14:02:27 +0200,TRACKED_REMOTE,Level 7
origin/main,6d3df6e,2026-09-01 16:47:44 +0200,TRACKED_REMOTE,Historical Archive
origin/professor/final-research-code,42eff09,2026-09-02 23:55:41 +0200,TRACKED_REMOTE,Historical Archive
origin/research-history,6899797,2026-09-01 17:37:08 +0200,TRACKED_REMOTE,Historical Archive
research-archive,6899797,2026-09-01 17:37:08 +0200,LOCAL_BRANCH,Historical Archive
research-archive/master,6899797,2026-09-01 17:37:08 +0200,LOCAL_BRANCH,Historical Archive
