timestep,f_err_carleman_classical,g_err_carleman_classical,rho_err_carleman_classical,alpha_err_carleman_classical,f_err_quantum_classical,g_err_quantum_classical,rho_err_quantum_classical,alpha_err_quantum_classical,f_diff_quantum_carleman,g_diff_quantum_carleman,mass_classical,mass_carleman,mass_quantum
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0000000000000004,2.0000000000000004,2.0000000000000004
1,0.00013885289394524746,0.0003214285548241517,9.837843065574505e-05,0.0002674447279010104,0.33464332246683665,0.384776556033426,0.00018918923961512137,0.0002674447279010258,0.3346725010082314,0.38490017945974986,2.0,1.9999999999999996,1.999999999999999
2,0.7462479449143463,0.07386231850453687,0.77211271730526,0.058809855593100535,0.5726832625548323,0.4997439469090243,0.26676629280717773,0.17769027960383002,0.49490561025298574,0.4960710456076648,2.0,1.9999999999999996,2.183422219466489
3,0.9069779253294218,0.17238900428536738,0.5825941860645376,0.16525017761964259,0.43722815824183153,0.34820123776575923,0.26477540149690393,0.18882492283552282,0.5550380064769407,0.3786852943357565,1.9999999999999998,1.9999999999999996,2.21931408379938
4,0.6813407048152565,0.23625735059902264,0.5289204690693762,0.16778450070119819,0.35891523426614547,0.2790662555802264,0.3270578952761259,0.19271715526961575,0.5433349005154777,0.32390425572452775,1.9999999999999996,1.9999999999999993,2.225375700132777
5,0.5449672108467373,0.19986329546544912,0.41175156531101853,0.13651198895695832,0.37916394924761365,0.24614833259799646,0.2976687822263838,0.19780375299122407,0.5398582176180043,0.24384126625581545,1.9999999999999993,1.9999999999999991,2.2253757001327767
6,0.4965273723090485,0.16309326325792034,0.4835360137313551,0.08949793382370223,0.3115379677264179,0.21428069642045794,0.23359236585507676,0.18036398179108107,0.48545293566771075,0.21404019033755603,1.9999999999999991,1.9999999999999991,2.2253757001327767
7,0.5248977929356418,0.10465372604183754,0.4478141407539047,0.06380417197795368,0.26979797742051803,0.19485989982878923,0.22145246249559883,0.16674523062938318,0.4691612983925913,0.1920395607866376,1.9999999999999991,1.9999999999999987,2.2253757001327763
8,0.5001650002660897,0.083034175180103,0.4586193935582068,0.06625675877483245,0.2575834255846412,0.17484795012434862,0.22947499893238943,0.15021941088635132,0.43529296879951274,0.17435116977750198,1.9999999999999991,1.9999999999999984,2.2253757001327763
9,0.49472130904339773,0.07640760933889196,0.4350489065044454,0.0558771592213136,0.25869644660590163,0.15479106209330487,0.2259990387088122,0.13314352529202755,0.4215806497794555,0.16309568218592993,1.999999999999999,1.999999999999998,2.2253757001327763
10,0.4809411153234572,0.06847628139462847,0.43674479299839003,0.05609350755686721,0.24731646487634482,0.13726380162752577,0.21699634869624027,0.12618910402353098,0.4055444186764944,0.15295256539429936,1.9999999999999987,1.999999999999998,2.225375700132776
