mesh_name,nx,ny,nodes,timesteps_Nt,qubits_arch_A_hqc,qubits_arch_B_local,qubits_arch_C_qsvt,hilbert_dim_arch_A,hilbert_dim_arch_B,carleman_physical_dim,global_spacetime_dim,condition_number_L,qsvt_query_count,estimated_gates_arch_A,estimated_gates_arch_B,estimated_gates_arch_C
4x4,4,4,16,1,10,16,17,1024,65536,5472,10944,5.5,111,5800,19650,2730600
4x4,4,4,16,5,10,16,19,1024,65536,5472,32832,15.5,700,29000,98250,17220000
4x4,4,4,16,10,10,16,20,1024,65536,5472,60192,28.0,1786,58000,196500,43935600
4x4,4,4,16,20,10,16,21,1024,65536,5472,114912,53.0,4781,116000,393000,117612600
8x8,8,8,64,1,12,18,19,4096,262144,21888,43776,5.5,111,22600,77250,10722600
8x8,8,8,64,5,12,18,21,4096,262144,21888,131328,15.5,700,113000,386250,67620000
8x8,8,8,64,10,12,18,22,4096,262144,21888,240768,28.0,1786,226000,772500,172527600
8x8,8,8,64,20,12,18,23,4096,262144,21888,459648,53.0,4781,452000,1545000,461844600
16x16,16,16,256,1,14,20,21,16384,1048576,87552,175104,5.5,111,89800,307650,42690600
16x16,16,16,256,5,14,20,23,16384,1048576,87552,525312,15.5,700,449000,1538250,269220000
16x16,16,16,256,10,14,20,24,16384,1048576,87552,963072,28.0,1786,898000,3076500,686895600
16x16,16,16,256,20,14,20,25,16384,1048576,87552,1838592,53.0,4781,1796000,6153000,1838772600
32x16,32,16,512,1,15,21,22,32768,2097152,175104,350208,5.5,111,179400,614850,85314600
32x16,32,16,512,5,15,21,24,32768,2097152,175104,1050624,15.5,700,897000,3074250,538020000
32x16,32,16,512,10,15,21,25,32768,2097152,175104,1926144,28.0,1786,1794000,6148500,1372719600
32x16,32,16,512,20,15,21,26,32768,2097152,175104,3677184,53.0,4781,3588000,12297000,3674676600
64x32,64,32,2048,1,17,23,24,131072,8388608,700416,1400832,5.5,111,717000,2458050,341058600
64x32,64,32,2048,5,17,23,26,131072,8388608,700416,4202496,15.5,700,3585000,12290250,2150820000
64x32,64,32,2048,10,17,23,27,131072,8388608,700416,7704576,28.0,1786,7170000,24580500,5487663600
64x32,64,32,2048,20,17,23,28,131072,8388608,700416,14708736,53.0,4781,14340000,49161000,14690100600
128x64,128,64,8192,1,19,25,26,524288,33554432,2801664,5603328,5.5,111,2867400,9830850,1364034600
128x64,128,64,8192,5,19,25,28,524288,33554432,2801664,16809984,15.5,700,14337000,49154250,8602020000
128x64,128,64,8192,10,19,25,29,524288,33554432,2801664,30818304,28.0,1786,28674000,98308500,21947439600
128x64,128,64,8192,20,19,25,30,524288,33554432,2801664,58834944,53.0,4781,57348000,196617000,58751796600
