timestep,total_density_mass,liquid_phase_mass,density_mass_drift_rel,liquid_mass_drift_rel,total_momentum_x,total_momentum_y
1,108.8,64.0,0.0,0.0,-0.00025,-0.01465
2,108.8,64.0,0.0,0.0,2.239662,2.221738
3,108.8,63.6904,0.0,0.004838,3.00269,2.977864
4,108.8,63.5668,0.0,0.006769,3.162945,3.13301
5,108.8,63.6963,0.0,0.004746,4.303371,4.273763
6,108.8,63.814,0.0,0.002906,4.593885,4.451792
7,108.8,63.9646,0.0,0.000554,4.838371,4.583665
8,108.8,64.0785,0.0,0.001227,5.550834,5.224242
9,108.8,64.0728,0.0,0.001138,5.863646,5.456281
10,108.8,64.036,0.0,0.000562,6.2041,5.787688
11,108.8,64.0246,0.0,0.000384,6.648277,6.071719
12,108.8,64.019,0.0,0.000297,6.832043,5.743855
13,108.8,64.0136,0.0,0.000213,7.15435,5.638935
14,108.8,64.0099,0.0,0.000154,7.396057,5.286407
15,108.8,64.0072,0.0,0.000112,7.691883,4.695799
16,108.8,64.0053,0.0,8.3e-05,8.088209,4.264229
17,108.8,64.0042,0.0,6.5e-05,8.455419,3.871671
18,108.8,64.0035,0.0,5.5e-05,8.854459,3.53916
19,108.8,64.0027,0.0,4.2e-05,9.173347,3.250461
20,108.8,64.0019,0.0,2.9e-05,9.448615,2.899418
21,108.8,64.0015,0.0,2.4e-05,9.70022,2.481009
22,108.8,64.0014,0.0,2.2e-05,9.964284,2.061124
23,108.8,64.0012,0.0,1.8e-05,10.226739,1.615915
24,108.8,64.001,0.0,1.5e-05,10.490271,1.131366
25,108.8,64.0007,0.0,1.1e-05,10.748121,0.623879
26,108.8,64.0005,0.0,9e-06,10.980724,0.056292
27,108.8,64.0005,0.0,8e-06,11.181589,-0.435998
28,108.8,64.0005,0.0,7e-06,11.337992,-0.816485
29,108.8,64.0004,0.0,6e-06,11.48928,-1.122683
30,108.8,64.0003,0.0,5e-06,11.52116,-1.424339
