m_iterations,subspace_multiplier_2m_plus_1,angle_rad,success_probability,percentage,forward_U_calls,inverse_U_calls,total_unitaries,reflection_operators,total_circuit_operations,exceeds_99_percent
0,1,0.102935,0.010558,1.056%,1,0,1,0,1,NO
1,3,0.308804,0.092367,9.237%,2,1,3,2,5,NO
2,5,0.514673,0.242311,24.231%,3,2,5,4,9,NO
3,7,0.720543,0.435326,43.533%,4,3,7,6,13,NO
4,9,0.926412,0.639152,63.915%,5,4,9,8,17,NO
5,11,1.132282,0.819719,81.972%,6,5,11,10,21,NO
6,13,1.338151,0.946846,94.685%,7,6,13,12,25,NO
7,15,1.54402,0.999283,99.928%,8,7,15,14,29,YES
8,17,1.74989,0.968267,96.827%,9,8,17,16,33,NO
9,19,1.955759,0.858981,85.898%,10,9,19,18,37,NO
10,21,2.161629,0.689693,68.969%,11,10,21,20,41,NO
