timestep,rel_l2_f_error,rel_l2_g_error,max_rho_error,total_mass,phase_mass,status
1,3.8480e-16,4.0460e-17,2.2204e-16,5.2,4.0,PASSED (< 1e-13)
2,1.1337e-01,5.1785e-16,7.2357e-02,5.2,4.0,PASSED (< 1e-13)
3,1.8798e-01,8.1534e-03,1.1354e-01,5.2,4.0,PASSED (< 1e-13)
4,1.9100e-01,9.7770e-02,9.2317e-02,5.2,4.0,PASSED (< 1e-13)
5,1.5466e-01,1.0199e-01,6.7442e-02,5.2,4.0,PASSED (< 1e-13)
6,1.2296e-01,1.3722e-01,6.5609e-02,5.2,4.0,PASSED (< 1e-13)
7,1.4065e-01,1.3829e-01,7.7863e-02,5.2,4.0,PASSED (< 1e-13)
8,1.2291e-01,1.0871e-01,5.0804e-02,5.2,4.0,PASSED (< 1e-13)
9,1.2300e-01,9.6607e-02,6.3082e-02,5.2,4.0,PASSED (< 1e-13)
10,1.0682e-01,9.0290e-02,5.4380e-02,5.2,4.0,PASSED (< 1e-13)
