node_x,node_y,Fx_csf,Fy_total,buoyancy_active
0,0,0.0,-0.00016097,True
1,0,-3.026e-05,-0.00014212,True
2,0,-0.0,-6.76e-05,True
3,0,0.0,-2.128e-05,True
4,0,2.517e-05,-3.41e-06,True
5,0,-2.736e-05,-8.8e-07,True
6,0,3.97e-05,-2.059e-05,True
7,0,0.0,-8.018e-05,True
0,1,0.0,-0.00014884,True
1,1,-2.09e-06,-0.00010951,True
2,1,-7.76e-06,-8.78e-05,True
3,1,-8.62e-06,-4.296e-05,True
4,1,3.774e-05,-2.81e-06,True
5,1,-2.922e-05,-4.78e-06,True
6,1,4.555e-05,-2.6e-05,True
7,1,0.0,-7.873e-05,True
0,2,0.0,-9.492e-05,True
1,2,-1.137e-05,-0.00010678,True
2,2,-3.329e-05,-8.353e-05,True
3,2,-2.12e-06,-3.182e-05,True
4,2,3.43e-05,-7.74e-06,True
5,2,-2.392e-05,-4.95e-06,True
6,2,2.993e-05,-1.427e-05,True
7,2,0.0,-3.407e-05,True
0,3,0.0,-0.00011218,True
1,3,-1.694e-05,-0.00014207,True
2,3,-0.0,-7.492e-05,True
3,3,0.0,-2.392e-05,True
4,3,2.371e-05,1.26e-06,True
5,3,-2.28e-05,1.03e-06,True
6,3,3.143e-05,-1.258e-05,True
7,3,0.0,-5.181e-05,True
