node_x,node_y,alpha,rho,nu_mix,tau_f,omega_f
0,0,0.280665,0.421949,0.05,0.65,1.538462
1,0,0.257642,0.384248,0.05,0.65,1.538462
2,0,0.159625,0.235195,0.05,0.65,1.538462
3,0,0.065278,0.142568,0.05,0.65,1.538462
4,0,0.014959,0.106827,0.05,0.65,1.538462
5,0,0.014948,0.101755,0.05,0.65,1.538462
6,0,0.069669,0.141188,0.05,0.65,1.538462
7,0,0.173737,0.260351,0.05,0.65,1.538462
0,1,0.256814,0.37327,0.05,0.65,1.538462
1,1,0.234562,0.320503,0.05,0.65,1.538462
2,1,0.204414,0.279642,0.05,0.65,1.538462
3,1,0.089308,0.18648,0.05,0.65,1.538462
4,1,0.00936,0.115296,0.05,0.65,1.538462
5,1,0.011831,0.117723,0.05,0.65,1.538462
6,1,0.068035,0.141086,0.05,0.65,1.538462
7,1,0.17665,0.241907,0.05,0.65,1.538462
0,2,0.231852,0.298446,0.05,0.65,1.538462
1,2,0.276132,0.344758,0.05,0.65,1.538462
2,2,0.197419,0.256461,0.05,0.65,1.538462
3,2,0.071603,0.162989,0.05,0.65,1.538462
4,2,0.005021,0.118313,0.05,0.65,1.538462
5,2,0.006752,0.109544,0.05,0.65,1.538462
6,2,0.049928,0.121598,0.05,0.65,1.538462
7,2,0.142629,0.187518,0.05,0.65,1.538462
0,3,0.239612,0.32436,0.05,0.65,1.538462
1,3,0.281814,0.384134,0.05,0.65,1.538462
2,3,0.171834,0.249846,0.05,0.65,1.538462
3,3,0.059582,0.147848,0.05,0.65,1.538462
4,3,0.006681,0.09747,0.05,0.65,1.538462
5,3,0.012161,0.097944,0.05,0.65,1.538462
6,3,0.052285,0.125162,0.05,0.65,1.538462
7,3,0.137892,0.203622,0.05,0.65,1.538462
