node_x,node_y,alpha,within_bounds,sector_isolated
0,0,0.280665,True,True
1,0,0.257642,True,True
2,0,0.159625,True,True
3,0,0.065278,True,True
4,0,0.014959,True,True
5,0,0.014948,True,True
6,0,0.069669,True,True
7,0,0.173737,True,True
0,1,0.256814,True,True
1,1,0.234562,True,True
2,1,0.204414,True,True
3,1,0.089308,True,True
4,1,0.00936,True,True
5,1,0.011831,True,True
6,1,0.068035,True,True
7,1,0.17665,True,True
0,2,0.231852,True,True
1,2,0.276132,True,True
2,2,0.197419,True,True
3,2,0.071603,True,True
4,2,0.005021,True,True
5,2,0.006752,True,True
6,2,0.049928,True,True
7,2,0.142629,True,True
0,3,0.239612,True,True
1,3,0.281814,True,True
2,3,0.171834,True,True
3,3,0.059582,True,True
4,3,0.006681,True,True
5,3,0.012161,True,True
6,3,0.052285,True,True
7,3,0.137892,True,True
