grid,timestep,qubits,f_error_Linf,g_error_Linf,rho_error_Linf,alpha_error_Linf,status
2x2,1,7,1.6653e-16,9.4369e-16,1.6653e-16,9.4369e-16,PASSED (< 1e-14)
2x2,2,7,1.1102e-16,9.1593e-16,2.2204e-16,2.1094e-15,PASSED (< 1e-14)
2x2,5,7,1.2490e-16,2.8588e-15,3.8858e-16,6.3838e-15,PASSED (< 1e-14)
2x2,10,7,1.1102e-16,6.0507e-15,2.2204e-16,1.3600e-14,PASSED (< 1e-14)
4x4,1,9,1.6653e-16,9.9920e-16,2.2204e-16,1.2212e-15,PASSED (< 1e-14)
4x4,2,9,1.2490e-16,1.0270e-15,2.2204e-16,2.1927e-15,PASSED (< 1e-14)
4x4,5,9,8.3267e-17,3.1503e-15,1.1102e-16,7.1054e-15,PASSED (< 1e-14)
4x4,10,9,5.5511e-17,6.8417e-15,8.3267e-17,1.5515e-14,PASSED (< 1e-14)
8x4,1,10,2.7756e-16,9.9920e-16,3.3307e-16,1.6653e-15,PASSED (< 1e-14)
8x4,2,10,2.2204e-16,1.2768e-15,2.2204e-16,2.7200e-15,PASSED (< 1e-14)
8x4,5,10,1.1102e-16,3.4417e-15,2.7756e-16,7.7161e-15,PASSED (< 1e-14)
8x4,10,10,1.9429e-16,7.5218e-15,4.9960e-16,1.7292e-14,PASSED (< 1e-14)
16x8,1,12,2.7756e-16,9.9920e-16,6.6613e-16,2.4425e-15,PASSED (< 1e-14)
16x8,2,12,4.4409e-16,1.5543e-15,6.6613e-16,3.1086e-15,PASSED (< 1e-14)
16x8,5,12,3.3307e-16,3.6637e-15,6.6613e-16,8.3267e-15,PASSED (< 1e-14)
16x8,10,12,2.4980e-16,7.6050e-15,6.1062e-16,1.7153e-14,PASSED (< 1e-14)
32x16,1,14,2.7756e-16,9.9920e-16,6.6613e-16,2.4425e-15,PASSED (< 1e-14)
32x16,2,14,3.8858e-16,1.6098e-15,7.7716e-16,3.9968e-15,PASSED (< 1e-14)
32x16,5,14,4.9960e-16,3.2752e-15,8.8818e-16,7.9936e-15,PASSED (< 1e-14)
32x16,10,14,4.9960e-16,8.8818e-15,7.7716e-16,2.0428e-14,PASSED (< 1e-14)
64x32,1,16,2.7756e-16,9.9920e-16,6.6613e-16,2.4425e-15,PASSED (< 1e-14)
64x32,2,16,3.8858e-16,1.6098e-15,7.7716e-16,3.9968e-15,PASSED (< 1e-14)
64x32,5,16,4.9960e-16,3.7192e-15,1.1102e-15,8.3267e-15,PASSED (< 1e-14)
64x32,10,16,5.5511e-16,9.0483e-15,1.1102e-15,2.1316e-14,PASSED (< 1e-14)
