node_x,node_y,ux,uy,u_mag,mach_limited,rho_safe
0,0,-0.001324,0.006811,0.006939,True,0.421949
1,0,-0.014982,-0.039229,0.041993,True,0.384248
2,0,-0.071295,0.052658,0.088633,True,0.235195
3,0,-0.094966,0.11611,0.15,True,0.142568
4,0,-0.010902,0.087362,0.088039,True,0.106827
5,0,-0.018306,0.056644,0.059528,True,0.101755
6,0,0.10627,0.022652,0.108658,True,0.141188
7,0,0.12212,0.029605,0.125657,True,0.260351
0,1,-0.068693,-0.014765,0.070261,True,0.37327
1,1,0.071386,0.082409,0.109028,True,0.320503
2,1,0.145623,0.035973,0.15,True,0.279642
3,1,0.149823,0.007277,0.15,True,0.18648
4,1,0.070725,-0.006414,0.071016,True,0.115296
5,1,-0.053597,0.0075,0.054119,True,0.117723
6,1,-0.137502,0.059943,0.15,True,0.141086
7,1,0.142953,-0.045437,0.15,True,0.241907
0,2,0.042582,0.017706,0.046116,True,0.298446
1,2,0.066071,0.066027,0.093407,True,0.344758
2,2,0.143466,0.043789,0.15,True,0.256461
3,2,0.141593,0.049512,0.15,True,0.162989
4,2,0.049693,0.044626,0.066789,True,0.118313
5,2,-0.044484,0.04971,0.066708,True,0.109544
6,2,-0.083245,0.083395,0.117832,True,0.121598
7,2,0.140968,-0.051264,0.15,True,0.187518
0,3,0.075494,0.058569,0.095549,True,0.32436
1,3,-0.005758,0.006688,0.008825,True,0.384134
2,3,-0.128506,-0.035167,0.133231,True,0.249846
3,3,-0.133882,-0.067642,0.15,True,0.147848
4,3,0.077186,-0.029718,0.082709,True,0.09747
5,3,0.001438,-0.063152,0.063168,True,0.097944
6,3,0.081809,0.012803,0.082805,True,0.125162
7,3,0.095879,0.078541,0.123942,True,0.203622
