grid,timesteps,state_preparations,classical_extractions,intermediate_re_encodings,f_error_Linf,g_error_Linf,rho_error_Linf,alpha_error_Linf,final_mass,toffoli_gates,cx_gates,status
4x4,1,1,1,0,7.3484e-05,6.5848e-05,7.3469e-05,6.5848e-05,3.4,115968,228864,PASSED (Autonomous)
4x4,2,1,1,0,1.8927e-04,1.0513e-04,2.5604e-04,1.6499e-04,3.4,241152,476160,PASSED (Autonomous)
4x4,4,1,1,0,1.5631e-03,3.9870e-04,2.1791e-03,9.3977e-04,3.4,496128,979968,PASSED (Autonomous)
4x4,8,1,1,0,7.5570e-04,4.4634e-04,1.5010e-03,7.0724e-04,3.4,985088,1945600,PASSED (Autonomous)
4x4,16,1,1,0,1.0244e-03,5.4758e-04,2.5230e-03,1.3753e-03,3.4,1957376,3865600,PASSED (Autonomous)
8x4,1,1,1,0,7.3484e-05,6.5848e-05,1.3538e-04,1.2347e-04,6.8,231296,456448,PASSED (Autonomous)
8x4,2,1,1,0,3.2514e-04,2.0799e-04,6.3440e-04,4.3740e-04,6.8,480768,949248,PASSED (Autonomous)
8x4,4,1,1,0,1.7379e-03,2.5497e-03,2.1548e-03,4.0624e-03,6.8,990976,1957376,PASSED (Autonomous)
8x4,8,1,1,0,2.8992e-03,1.4128e-03,6.3865e-03,3.0944e-03,6.8,2000128,3951104,PASSED (Autonomous)
8x4,16,1,1,0,1.2845e-03,1.2324e-03,2.2019e-03,2.3014e-03,6.8,3999488,7900672,PASSED (Autonomous)
16x8,1,1,1,0,7.3484e-05,6.5848e-05,9.9585e-05,8.8250e-05,27.2,916224,1807872,PASSED (Autonomous)
16x8,2,1,1,0,2.9612e-04,2.2144e-04,5.2361e-04,4.2229e-04,27.2,1880320,3711488,PASSED (Autonomous)
16x8,4,1,1,0,1.8166e-03,1.2115e-02,2.5702e-03,2.1654e-02,27.2,3841792,7585280,PASSED (Autonomous)
16x8,8,1,1,0,2.0455e-03,4.7352e-03,5.7174e-03,8.3276e-03,27.2,7822592,15448576,PASSED (Autonomous)
16x8,16,1,1,0,6.4463e-03,2.6406e-03,1.3608e-02,6.2953e-03,27.2,15933952,31474688,PASSED (Autonomous)
