grid,timesteps,state_preparations,classical_extractions,intermediate_re_encodings,f_error_Linf,g_error_Linf,rho_error_Linf,execution_mode,verdict
2x2,1,1,1,0,2.2919e-01,2.2919e-01,2.5784e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
2x2,2,1,1,0,1.3869e-01,1.0800e-01,3.3823e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
2x2,4,1,1,0,1.9634e-01,1.5416e-01,3.6510e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
2x2,8,1,1,0,1.6173e-01,1.1740e-01,3.7207e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
2x2,16,1,1,0,1.4550e-01,1.1132e-01,3.2734e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
4x4,1,1,1,0,2.2919e-01,2.2919e-01,3.7430e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
4x4,2,1,1,0,1.7983e-01,1.9189e-01,4.2250e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
4x4,4,1,1,0,1.6732e-01,1.4845e-01,4.0611e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
4x4,8,1,1,0,1.6978e-01,1.3026e-01,3.8113e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
4x4,16,1,1,0,1.5151e-01,1.1645e-01,3.4356e-01,Strict Quantum-Only (Pure U_step^T),PASSED (Zero Intermediate Reads)
