State_ID,Density_rho,Phase_alpha,Velocity_ux,Velocity_uy,Mass_Conserved,Phase_Conserved,Max_Pop_Deviation
1,0.05,0.00,0.000,0.000,True,True,0
2,0.05,0.00,0.020,0.000,True,True,0
3,0.05,0.00,0.000,-0.040,True,True,0
4,0.05,0.00,0.050,0.050,True,True,0
5,0.05,0.00,-0.080,0.060,True,True,0
6,0.05,0.10,0.000,0.000,True,True,0
7,0.05,0.10,0.020,0.000,True,True,0
8,0.05,0.10,0.000,-0.040,True,True,0
9,0.05,0.10,0.050,0.050,True,True,0
10,0.05,0.10,-0.080,0.060,True,True,0
11,0.05,0.50,0.000,0.000,True,True,0
12,0.05,0.50,0.020,0.000,True,True,0
13,0.05,0.50,0.000,-0.040,True,True,0
14,0.05,0.50,0.050,0.050,True,True,0
15,0.05,0.50,-0.080,0.060,True,True,0
16,0.05,0.90,0.000,0.000,True,True,0
17,0.05,0.90,0.020,0.000,True,True,0
18,0.05,0.90,0.000,-0.040,True,True,0
19,0.05,0.90,0.050,0.050,True,True,0
20,0.05,0.90,-0.080,0.060,True,True,0
21,0.05,1.00,0.000,0.000,True,True,0
22,0.05,1.00,0.020,0.000,True,True,0
23,0.05,1.00,0.000,-0.040,True,True,0
24,0.05,1.00,0.050,0.050,True,True,0
25,0.05,1.00,-0.080,0.060,True,True,0
26,0.10,0.00,0.000,0.000,True,True,0
27,0.10,0.00,0.020,0.000,True,True,0
28,0.10,0.00,0.000,-0.040,True,True,0
29,0.10,0.00,0.050,0.050,True,True,0
30,0.10,0.00,-0.080,0.060,True,True,0
31,0.10,0.10,0.000,0.000,True,True,0
32,0.10,0.10,0.020,0.000,True,True,0
33,0.10,0.10,0.000,-0.040,True,True,0
34,0.10,0.10,0.050,0.050,True,True,0
35,0.10,0.10,-0.080,0.060,True,True,0
36,0.10,0.50,0.000,0.000,True,True,0
37,0.10,0.50,0.020,0.000,True,True,0
38,0.10,0.50,0.000,-0.040,True,True,0
39,0.10,0.50,0.050,0.050,True,True,0
40,0.10,0.50,-0.080,0.060,True,True,0
41,0.10,0.90,0.000,0.000,True,True,0
42,0.10,0.90,0.020,0.000,True,True,0
43,0.10,0.90,0.000,-0.040,True,True,0
44,0.10,0.90,0.050,0.050,True,True,0
45,0.10,0.90,-0.080,0.060,True,True,0
46,0.10,1.00,0.000,0.000,True,True,0
47,0.10,1.00,0.020,0.000,True,True,0
48,0.10,1.00,0.000,-0.040,True,True,0
49,0.10,1.00,0.050,0.050,True,True,0
50,0.10,1.00,-0.080,0.060,True,True,0
51,0.20,0.00,0.000,0.000,True,True,0
52,0.20,0.00,0.020,0.000,True,True,0
53,0.20,0.00,0.000,-0.040,True,True,0
54,0.20,0.00,0.050,0.050,True,True,0
55,0.20,0.00,-0.080,0.060,True,True,0
56,0.20,0.10,0.000,0.000,True,True,0
57,0.20,0.10,0.020,0.000,True,True,0
58,0.20,0.10,0.000,-0.040,True,True,0
59,0.20,0.10,0.050,0.050,True,True,0
60,0.20,0.10,-0.080,0.060,True,True,0
