Eigenvalue_Index,Choi_Eigenvalue,Is_NonNegative
0,0.000000e+00,True
1,0.000000e+00,True
2,0.000000e+00,True
3,0.000000e+00,True
4,0.000000e+00,True
5,0.000000e+00,True
6,0.000000e+00,True
7,0.000000e+00,True
8,0.000000e+00,True
9,0.000000e+00,True
10,0.000000e+00,True
11,0.000000e+00,True
12,0.000000e+00,True
13,0.000000e+00,True
14,0.000000e+00,True
15,0.000000e+00,True
16,0.000000e+00,True
17,0.000000e+00,True
18,0.000000e+00,True
19,0.000000e+00,True
20,0.000000e+00,True
21,0.000000e+00,True
22,0.000000e+00,True
23,0.000000e+00,True
24,0.000000e+00,True
25,0.000000e+00,True
26,0.000000e+00,True
27,0.000000e+00,True
28,0.000000e+00,True
29,0.000000e+00,True
30,0.000000e+00,True
31,0.000000e+00,True
32,0.000000e+00,True
33,0.000000e+00,True
34,0.000000e+00,True
35,0.000000e+00,True
36,0.000000e+00,True
37,0.000000e+00,True
38,0.000000e+00,True
39,0.000000e+00,True
40,0.000000e+00,True
41,0.000000e+00,True
42,0.000000e+00,True
43,0.000000e+00,True
44,0.000000e+00,True
45,0.000000e+00,True
46,0.000000e+00,True
47,0.000000e+00,True
48,0.000000e+00,True
49,0.000000e+00,True
50,0.000000e+00,True
51,0.000000e+00,True
52,0.000000e+00,True
53,0.000000e+00,True
54,0.000000e+00,True
55,0.000000e+00,True
56,0.000000e+00,True
57,0.000000e+00,True
58,0.000000e+00,True
59,0.000000e+00,True
60,0.000000e+00,True
61,1.250000e-01,True
62,2.500000e-01,True
63,6.250000e-01,True
