Eigenvalue_Index,Eigenvalue,Is_NonNegative,Hermiticity_Error,Complete_Positivity
0,0.000000e+00,True,0.00e+00,PASS
1,0.000000e+00,True,0.00e+00,PASS
2,0.000000e+00,True,0.00e+00,PASS
3,0.000000e+00,True,0.00e+00,PASS
4,0.000000e+00,True,0.00e+00,PASS
5,0.000000e+00,True,0.00e+00,PASS
6,0.000000e+00,True,0.00e+00,PASS
7,0.000000e+00,True,0.00e+00,PASS
8,0.000000e+00,True,0.00e+00,PASS
9,0.000000e+00,True,0.00e+00,PASS
10,0.000000e+00,True,0.00e+00,PASS
11,0.000000e+00,True,0.00e+00,PASS
12,0.000000e+00,True,0.00e+00,PASS
13,0.000000e+00,True,0.00e+00,PASS
14,0.000000e+00,True,0.00e+00,PASS
15,0.000000e+00,True,0.00e+00,PASS
16,0.000000e+00,True,0.00e+00,PASS
17,0.000000e+00,True,0.00e+00,PASS
18,0.000000e+00,True,0.00e+00,PASS
19,0.000000e+00,True,0.00e+00,PASS
20,0.000000e+00,True,0.00e+00,PASS
21,0.000000e+00,True,0.00e+00,PASS
22,0.000000e+00,True,0.00e+00,PASS
23,0.000000e+00,True,0.00e+00,PASS
24,0.000000e+00,True,0.00e+00,PASS
25,0.000000e+00,True,0.00e+00,PASS
26,0.000000e+00,True,0.00e+00,PASS
27,0.000000e+00,True,0.00e+00,PASS
28,0.000000e+00,True,0.00e+00,PASS
29,0.000000e+00,True,0.00e+00,PASS
30,0.000000e+00,True,0.00e+00,PASS
31,0.000000e+00,True,0.00e+00,PASS
32,0.000000e+00,True,0.00e+00,PASS
33,0.000000e+00,True,0.00e+00,PASS
34,0.000000e+00,True,0.00e+00,PASS
35,0.000000e+00,True,0.00e+00,PASS
36,0.000000e+00,True,0.00e+00,PASS
37,0.000000e+00,True,0.00e+00,PASS
38,0.000000e+00,True,0.00e+00,PASS
39,0.000000e+00,True,0.00e+00,PASS
40,0.000000e+00,True,0.00e+00,PASS
41,0.000000e+00,True,0.00e+00,PASS
42,0.000000e+00,True,0.00e+00,PASS
43,0.000000e+00,True,0.00e+00,PASS
44,0.000000e+00,True,0.00e+00,PASS
45,0.000000e+00,True,0.00e+00,PASS
46,0.000000e+00,True,0.00e+00,PASS
47,0.000000e+00,True,0.00e+00,PASS
48,0.000000e+00,True,0.00e+00,PASS
49,0.000000e+00,True,0.00e+00,PASS
50,0.000000e+00,True,0.00e+00,PASS
51,0.000000e+00,True,0.00e+00,PASS
52,0.000000e+00,True,0.00e+00,PASS
53,0.000000e+00,True,0.00e+00,PASS
54,0.000000e+00,True,0.00e+00,PASS
55,0.000000e+00,True,0.00e+00,PASS
56,0.000000e+00,True,0.00e+00,PASS
57,0.000000e+00,True,0.00e+00,PASS
58,0.000000e+00,True,0.00e+00,PASS
59,0.000000e+00,True,0.00e+00,PASS
60,0.000000e+00,True,0.00e+00,PASS
61,1.250000e-01,True,0.00e+00,PASS
62,2.500000e-01,True,0.00e+00,PASS
63,6.250000e-01,True,0.00e+00,PASS
