alpha,u_magnitude,norm_C,alpha_C,raw_p0_success,oaa_m1_success,oaa_m1_percent,dilation_unitarity_error
0.0,0.0,2.4714,2.4961,0.1605,0.8924,89.24%,2.8475e-15
0.0,0.02,2.4707,2.4954,0.1606,0.8926,89.26%,2.5330e-15
0.0,0.05,2.4672,2.4919,0.161,0.8938,89.38%,3.2424e-15
0.0,0.08,2.4609,2.4855,0.1619,0.8958,89.58%,2.7403e-15
0.0,0.1,2.4551,2.4797,0.1626,0.8977,89.77%,2.7085e-15
0.25,0.0,2.3433,2.3667,0.1785,0.9329,93.29%,3.1265e-15
0.25,0.02,2.3426,2.3661,0.1786,0.9331,93.31%,5.4253e-15
0.25,0.05,2.3394,2.3628,0.1791,0.934,93.40%,2.1539e-15
0.25,0.08,2.3334,2.3567,0.18,0.9358,93.58%,5.0333e-15
0.25,0.1,2.3279,2.3512,0.1809,0.9374,93.74%,3.2537e-15
0.5,0.0,2.2309,2.2532,0.197,0.9639,96.39%,2.6371e-15
0.5,0.02,2.2303,2.2526,0.1971,0.964,96.40%,1.9634e-15
0.5,0.05,2.2272,2.2495,0.1976,0.9648,96.48%,2.8221e-15
0.5,0.08,2.2215,2.2437,0.1986,0.9662,96.62%,3.5500e-15
0.5,0.1,2.2164,2.2385,0.1996,0.9674,96.74%,3.7264e-15
0.75,0.0,2.1319,2.1532,0.2157,0.9852,98.52%,3.3524e-15
0.75,0.02,2.1313,2.1526,0.2158,0.9853,98.53%,3.7790e-15
0.75,0.05,2.1284,2.1497,0.2164,0.9858,98.58%,4.0230e-15
0.75,0.08,2.123,2.1442,0.2175,0.9868,98.68%,2.9618e-15
0.75,0.1,2.1181,2.1393,0.2185,0.9876,98.76%,3.0847e-15
1.0,0.0,2.0443,2.0647,0.2346,0.9971,99.71%,3.3395e-15
1.0,0.02,2.0438,2.0642,0.2347,0.9971,99.71%,3.6500e-15
1.0,0.05,2.041,2.0614,0.2353,0.9974,99.74%,3.3267e-15
1.0,0.08,2.0359,2.0563,0.2365,0.9978,99.78%,2.5229e-15
1.0,0.1,2.0313,2.0516,0.2376,0.9981,99.81%,3.1000e-15
