timestep,max_f_error,max_g_error,max_rho_error,max_alpha_error,total_mass,phase_mass,norm_psi,execution_mode
1,1.5932e-14,1.5765e-14,1.8041e-14,1.5710e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
2,1.2934e-14,1.0159e-14,3.1475e-14,2.4925e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
3,2.1871e-14,1.7264e-14,4.8850e-14,3.8136e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
4,2.9643e-14,2.3176e-14,5.4401e-14,4.2022e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
5,3.7165e-14,2.6451e-14,7.8493e-14,5.6843e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
6,4.0468e-14,2.9865e-14,7.4551e-14,5.6177e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
7,4.0329e-14,2.9851e-14,8.5210e-14,6.4060e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
8,4.5935e-14,3.3251e-14,1.0575e-13,7.6605e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
9,5.3596e-14,3.8733e-14,1.0902e-13,8.2101e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
10,5.3707e-14,3.9857e-14,1.1963e-13,8.9484e-14,1.3,1.0,1.0,Mode 1 (Parameter-Fed Quantum)
