timestep,mode1_param_fed_f_err,mode1_param_fed_g_err,mode2_state_derived_f_err,mode2_state_derived_g_err,mode2_relative_f_percentage
1,1.5932e-14,1.5765e-14,1.5932e-14,1.5765e-14,0.000%
2,1.2934e-14,1.0159e-14,1.2990e-14,1.0159e-14,0.000%
3,2.1871e-14,1.7264e-14,2.1871e-14,1.7319e-14,0.000%
4,2.9643e-14,2.3176e-14,2.9698e-14,2.3231e-14,0.000%
5,3.7165e-14,2.6451e-14,3.7248e-14,2.6451e-14,0.000%
6,4.0468e-14,2.9865e-14,4.0468e-14,2.9893e-14,0.000%
7,4.0329e-14,2.9851e-14,4.0357e-14,2.9851e-14,0.000%
8,4.5935e-14,3.3251e-14,4.5991e-14,3.3251e-14,0.000%
9,5.3596e-14,3.8733e-14,5.3624e-14,3.8747e-14,0.000%
10,5.3707e-14,3.9857e-14,5.3707e-14,3.9843e-14,0.000%
