alpha,u_magnitude,norm_C,condition_number,alpha_C,base_p0,oaa_best_m,oaa_p_m,oaa_p_m_percent
0.0,0.0,2.4714,11.0694,2.4961,0.1605,1,0.8924,89.24%
0.0,0.02,2.4707,11.0692,2.4954,0.1606,1,0.8926,89.26%
0.0,0.05,2.4672,11.0684,2.4919,0.161,1,0.8938,89.38%
0.0,0.08,2.4609,11.0669,2.4855,0.1619,1,0.8958,89.58%
0.0,0.1,2.4551,11.0659,2.4797,0.1626,1,0.8977,89.77%
0.25,0.0,2.3433,10.4956,2.3667,0.1785,1,0.9329,93.29%
0.25,0.02,2.3426,10.4955,2.3661,0.1786,1,0.9331,93.31%
0.25,0.05,2.3394,10.4947,2.3628,0.1791,1,0.934,93.40%
0.25,0.08,2.3334,10.4935,2.3567,0.18,1,0.9358,93.58%
0.25,0.1,2.3279,10.4926,2.3512,0.1809,1,0.9374,93.74%
0.5,0.0,2.2309,9.9922,2.2532,0.197,1,0.9639,96.39%
0.5,0.02,2.2303,9.9921,2.2526,0.1971,1,0.964,96.40%
0.5,0.05,2.2272,9.9915,2.2495,0.1976,1,0.9648,96.48%
0.5,0.08,2.2215,9.9905,2.2437,0.1986,1,0.9662,96.62%
0.5,0.1,2.2164,9.9898,2.2385,0.1996,1,0.9674,96.74%
0.75,0.0,2.1319,9.5487,2.1532,0.2157,1,0.9852,98.52%
0.75,0.02,2.1313,9.5486,2.1526,0.2158,1,0.9853,98.53%
0.75,0.05,2.1284,9.5482,2.1497,0.2164,1,0.9858,98.58%
0.75,0.08,2.123,9.5475,2.1442,0.2175,1,0.9868,98.68%
0.75,0.1,2.1181,9.547,2.1393,0.2185,1,0.9876,98.76%
1.0,0.0,2.0443,9.1565,2.0647,0.2346,1,0.9971,99.71%
1.0,0.02,2.0438,9.1565,2.0642,0.2347,1,0.9971,99.71%
1.0,0.05,2.041,9.1562,2.0614,0.2353,1,0.9974,99.74%
1.0,0.08,2.0359,9.1558,2.0563,0.2365,1,0.9978,99.78%
1.0,0.1,2.0313,9.1556,2.0516,0.2376,1,0.9981,99.81%
